episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
72, 2168.800578713417, 1, 4.517002568998578, 287, 96778,                                             96778, 33.02701950073242, 579.6870727539062
73, -5643.25194811821, 2, 9.542645319999792, 616, 97394,                                             97394, 31.684383392333984, 588.9182739257812
74, -4167.131650805473, 2, 8.138335404999452, 545, 97939,                                             97939, 32.32508087158203, 590.181884765625
75, -4190.9394426345825, 2, 5.720983431001514, 372, 98311,                                             98311, 32.95697784423828, 586.2942504882812
76, -8916.242582559586, 2, 18.961105305001183, 1280, 99591,                                             99591, 32.83268737792969, 588.6256103515625
77, -6286.408911943436, 2, 8.925014366999676, 597, 100188,                                             100188, 32.71690368652344, 597.441650390625
78, -3565.3081327676773, 2, 7.335904986999594, 493, 100681,                                             100681, 32.44141387939453, 596.4346313476562
79, -5289.233847856522, 2, 11.537749272001747, 772, 101453,                                             101453, 33.225154876708984, 600.9296264648438
80, 311.21923646330833, 1, 8.938852191999104, 604, 102057,                                             102057, 34.10966110229492, 602.4395141601562
81, -3755.8040084838867, 2, 7.222713035000197, 457, 102514,                                             102514, 34.37762451171875, 597.6204223632812
82, -4624.495674788952, 2, 11.946739134000381, 778, 103292,                                             103292, 33.14665603637695, 602.5772705078125
83, -4214.944928407669, 2, 7.321877181000673, 488, 103780,                                             103780, 34.06536102294922, 607.7402954101562
84, -3165.9531959295273, 2, 5.330020482000691, 355, 104135,                                             104135, 33.74442672729492, 615.0712890625
85, -7293.351836442947, 2, 15.948442533999696, 1068, 105203,                                             105203, 34.19943618774414, 612.3431396484375
86, -5640.457176685333, 2, 13.754196313999273, 935, 106138,                                             106138, 34.60951614379883, 613.8701782226562
87, -4216.222000896931, 2, 11.544993316998443, 751, 106889,                                             106889, 34.937747955322266, 618.7081298828125
88, -3211.567622721195, 2, 6.122306770999785, 397, 107286,                                             107286, 33.87461471557617, 616.5140991210938
89, -4038.959556400776, 3, 10.141579536999416, 686, 107972,                                             107972, 34.912200927734375, 621.4110107421875
90, 1331.7245125174522, 1, 8.125369338000382, 540, 108512,                                             108512, 35.02627944946289, 619.1578369140625
91, -3784.3449318408966, 3, 4.632473378000213, 283, 108795,                                             108795, 33.74190139770508, 614.66796875
92, 1607.1793702840805, 1, 6.720664379001391, 444, 109239,                                             109239, 34.93259811401367, 616.699462890625
93, -3514.5918011665344, 2, 3.3131566120009666, 212, 109451,                                             109451, 34.925296783447266, 615.4921264648438
94, -6465.832601308823, 2, 16.15924669299966, 1102, 110553,                                             110553, 35.322269439697266, 624.1412963867188
95, -7123.927516937256, 2, 22.770619782000722, 1534, 112087,                                             112087, 35.48955154418945, 630.5845336914062
96, -7678.507869958878, 3, 13.348750154998925, 885, 112972,                                             112972, 36.211917877197266, 631.929931640625
97, -9987.501632630825, 4, 49.456973832000585, 3380, 116352,                                             116352, 36.070220947265625, 636.0301513671875
98, -4666.281120538712, 3, 9.329342756000187, 620, 116972,                                             116972, 36.101375579833984, 638.4625244140625
99, -4386.840675771236, 2, 12.73533498299912, 848, 117820,                                             117820, 35.82316970825195, 642.9762573242188
100, -5401.583576202393, 2, 13.748898153000482, 926, 118746,                                             118746, 37.11836624145508, 638.8241577148438
101, -1337.861525297165, 1, 15.067112529000951, 1016, 119762,                                             119762, 36.39767074584961, 642.1370239257812
102, -2578.7368466854095, 3, 0.9039968699999008, 40, 119802,                                             119802, 35.9822883605957, 657.9414672851562
103, -3788.1144753694534, 2, 6.1346307690000685, 414, 120216,                                             120216, 36.10432052612305, 639.7286376953125
104, -8656.421025753021, 2, 30.805780030999813, 2065, 122281,                                             122281, 36.455543518066406, 645.0241088867188
105, -6355.31019115448, 2, 13.741119359998265, 918, 123199,                                             123199, 36.78752899169922, 648.3781127929688
106, 2232.4922501444817, 1, 4.71756661299878, 300, 123499,                                             123499, 36.843658447265625, 646.5587768554688
107, -3531.002940893173, 2, 2.521053219999885, 144, 123643,                                             123643, 36.95668411254883, 644.7384033203125
108, -9441.327485203743, 4, 49.84105490699949, 3389, 127032,                                             127032, 36.963321685791016, 650.3792114257812
109, -8276.379288375378, 3, 23.580797278998944, 1604, 128636,                                             128636, 37.201026916503906, 652.8090209960938
110, -6075.406401216984, 3, 20.37166745200011, 1357, 129993,                                             129993, 36.31770324707031, 651.6762084960938
111, -9328.176673233509, 4, 50.150331417000416, 3420, 133413,                                             133413, 36.8003044128418, 652.6170043945312
112, -3445.18877017498, 2, 6.519656496000607, 425, 133838,                                             133838, 35.90287399291992, 649.801513671875
113, 1305.9414926171303, 1, 8.543586220001089, 572, 134410,                                             134410, 36.39421081542969, 656.5872192382812
114, -5539.953906774521, 3, 14.543047241999375, 975, 135385,                                             135385, 37.0374641418457, 652.3112182617188
115, -6273.164993107319, 2, 16.160644612000397, 1068, 136453,                                             136453, 36.79075622558594, 652.3301391601562
116, -3220.7075530290604, 2, 5.12562011099908, 346, 136799,                                             136799, 38.10428237915039, 655.3490600585938
117, -7852.787718653679, 2, 25.381190146001245, 1717, 138516,                                             138516, 37.526893615722656, 657.6468505859375
118, -3760.831428050995, 2, 5.529231635000542, 368, 138884,                                             138884, 36.53230667114258, 653.5743408203125
119, -3952.0010156035423, 2, 11.14684619000036, 730, 139614,                                             139614, 37.33305740356445, 656.9039306640625
120, -3707.9821412563324, 2, 5.72771030200056, 389, 140003,                                             140003, 36.30457305908203, 656.9270629882812
121, -3445.245071351528, 2, 6.408819747999587, 419, 140422,                                             140422, 36.25809860229492, 649.2850341796875
122, -3730.237367630005, 2, 5.128491917001156, 343, 140765,                                             140765, 36.730621337890625, 657.7542724609375
123, -5244.789814531803, 2, 11.739003680000678, 772, 141537,                                             141537, 37.141849517822266, 658.5621948242188
124, -4386.450473070145, 2, 11.748731027999384, 798, 142335,                                             142335, 37.19350051879883, 653.1661376953125
125, -4141.598889350891, 2, 5.517548952999277, 359, 142694,                                             142694, 38.13850784301758, 658.613037109375
126, -17248.111151218414, 2, 46.64844460899985, 3169, 145863,                                             145863, 37.53282928466797, 661.2845458984375
127, -7203.196251034737, 2, 24.570771445998616, 1646, 147509,                                             147509, 36.832733154296875, 657.794677734375
128, -13672.451098799706, 2, 42.24346581499958, 2874, 150383,                                             150383, 37.144351959228516, 658.4799194335938
129, -10774.695150136948, 4, 49.64924504600094, 3373, 153756,                                             153756, 36.973358154296875, 657.984130859375
130, -10564.064638733864, 4, 49.85425188600129, 3365, 157121,                                             157121, 36.24277877807617, 652.1922607421875
131, -3441.233394742012, 2, 6.026803547998497, 405, 157526,                                             157526, 36.93674087524414, 654.39599609375
132, -9036.109498262405, 4, 50.07294467199972, 3370, 160896,                                             160896, 35.891944885253906, 646.8284912109375
133, -9092.43108344078, 2, 25.183805111000765, 1708, 162604,                                             162604, 35.453922271728516, 642.755615234375
134, -6370.106545984745, 1, 43.43375600000036, 2940, 165544,                                             165544, 35.74617385864258, 640.5153198242188
135, -3277.371789932251, 2, 2.12248827500116, 135, 165679,                                             165679, 33.87993240356445, 634.3856201171875
136, -10608.012602686882, 2, 39.82566575199962, 2673, 168352,                                             168352, 35.53776931762695, 637.3140869140625
137, -12739.448895454407, 4, 49.83892009400006, 3353, 171705,                                             171705, 35.24104309082031, 634.8866577148438
138, -8102.785440683365, 3, 22.986340454001038, 1548, 173253,                                             173253, 34.43960952758789, 628.4982299804688
139, -9467.750616967678, 4, 49.84608407199994, 3355, 176608,                                             176608, 33.84977722167969, 627.0186157226562
140, -9861.199975728989, 4, 49.8559343729994, 3361, 179969,                                             179969, 33.641902923583984, 623.6442260742188
141, -8425.917349934578, 2, 25.273094387999663, 1710, 181679,                                             181679, 33.606693267822266, 622.5714111328125
142, -9867.20869088173, 2, 30.797461842001212, 2055, 183734,                                             183734, 33.47868347167969, 617.0632934570312
143, -10503.635207653046, 4, 49.84645098100009, 3358, 187092,                                             187092, 33.11840057373047, 614.91064453125
144, -8468.455658257008, 4, 49.662202186000286, 3355, 190447,                                             190447, 33.2489013671875, 612.0699462890625
145, -12292.4930768013, 4, 49.669569701, 3339, 193786,                                             193786, 32.82373809814453, 604.19677734375
146, -3719.024743795395, 2, 5.717588659001194, 362, 194148,                                             194148, 32.011810302734375, 603.9450073242188
147, -11235.023112177849, 4, 50.26603868799975, 3398, 197546,                                             197546, 32.29996871948242, 602.5917358398438
148, -11068.440376579762, 4, 49.84556606499973, 3346, 200892,                                             200892, 31.58867835998535, 595.1090698242188
149, -1723.1418806314468, 1, 22.766824735999762, 1515, 202407,                                             202407, 31.505422592163086, 592.1168823242188
